is_attack,attack_cat,dur,proto,sbytes,dbytes,ct_src_ltm,ct_dst_ltm
Normal,Normal,1.979445,tcp,810,1228,1,1
Normal,Normal,15.102544,tcp,450,0,3,2
Normal,Normal,1.763225,tcp,2516,354,3,1
Normal,Normal,0.651652,tcp,534,268,1,1
Normal,Normal,15.684376,tcp,450,0,3,2
Normal,Normal,15.684376,tcp,450,0,3,2
Normal,Normal,15.008936,tcp,360,0,2,2
Normal,Normal,15.008936,tcp,360,0,2,2
Normal,Normal,1.15935,tcp,534,354,1,1
Normal,Normal,16.131804,tcp,360,0,2,2
Normal,Normal,16.131804,tcp,360,0,2,2
Normal,Normal,0.717487,tcp,534,268,2,1
Normal,Normal,16.488672,tcp,270,0,5,5
Normal,Normal,0.874834,tcp,2516,354,2,1
Normal,Normal,16.800188,tcp,270,0,2,1
Normal,Normal,16.488672,tcp,270,0,5,5
Normal,Normal,16.800188,tcp,270,0,5,5
Normal,Normal,1.538604,tcp,814,1266,2,1
Normal,Normal,16.136995,tcp,270,0,5,5
Normal,Normal,16.136995,tcp,270,0,5,5
Normal,Normal,17.272808,tcp,180,0,9,8
Normal,Normal,17.267853,tcp,180,0,9,8
Normal,Normal,17.267853,tcp,180,0,9,8
Normal,Normal,0.869206,tcp,534,268,1,1
Normal,Normal,19.176811,tcp,180,0,9,8
Normal,Normal,17.272808,tcp,180,0,9,8
Normal,Normal,16.687513,tcp,180,0,9,8
Normal,Normal,19.176811,tcp,180,0,9,8
Normal,Normal,0.816781,tcp,2516,268,9,1
Normal,Normal,16.687513,tcp,180,0,9,8
Normal,Normal,0.724897,tcp,534,268,1,1
Normal,Normal,1.625287,tcp,876,1182,1,2
Normal,Normal,1.739142,tcp,2516,354,1,1
Normal,Normal,0.885835,tcp,534,268,2,1
Normal,Normal,1.179485,tcp,534,354,2,1
Normal,Normal,1.318945,tcp,2516,354,1,2
Normal,Normal,1.048635,tcp,824,1206,1,1
Normal,Normal,1.49338,tcp,822,1378,3,19
Normal,Normal,1.49338,tcp,822,1378,3,19
Normal,Normal,0.657843,tcp,534,354,1,1
Normal,Normal,1.49338,tcp,822,1378,3,19
Normal,Normal,1.450415,tcp,2516,354,1,1
Normal,Normal,1.45018,tcp,534,354,2,1
Normal,Normal,1.302269,tcp,534,354,1,1
Normal,Normal,1.20946,tcp,816,1294,1,1
Normal,Normal,0.638839,tcp,2516,268,2,1
Normal,Normal,1.368353,tcp,810,1138,3,2
Normal,Normal,1.368353,tcp,810,1138,3,2
Normal,Normal,0.963874,tcp,2516,354,1,2
Normal,Normal,0.866189,tcp,534,354,3,1
Normal,Normal,0.720965,tcp,800,1246,1,20
Normal,Normal,0.650809,tcp,2516,268,1,1
Normal,Normal,1.09756,tcp,792,1140,1,1
Normal,Normal,0.847027,tcp,534,268,1,1
Normal,Normal,0.698707,tcp,2516,268,1,1
Normal,Normal,1.058935,tcp,2516,354,2,1
Normal,Normal,0.762124,tcp,534,354,1,1
Normal,Normal,0.696721,tcp,2516,354,1,1
Normal,Normal,1.552272,tcp,822,1120,1,1
Normal,Normal,1.080772,tcp,534,354,1,1
Normal,Normal,0.685279,tcp,534,268,2,1
Normal,Normal,0.874161,tcp,796,1192,1,1
Normal,Normal,0.633507,tcp,2516,268,2,1
Normal,Normal,0.418529,tcp,534,268,2,2
Normal,Normal,9.734114,tcp,540,0,11,11
Normal,Normal,9.05373,tcp,540,0,11,11
Normal,Normal,8.834706,tcp,540,0,11,11
Normal,Normal,9.05373,tcp,540,0,11,11
Normal,Normal,8.232217,tcp,540,0,11,11
Normal,Normal,9.492497,tcp,540,0,11,11
Normal,Normal,8.232217,tcp,540,0,11,11
Normal,Normal,9.492497,tcp,540,0,11,11
Normal,Normal,1.139638,tcp,534,354,2,2
Normal,Normal,9.734114,tcp,540,0,11,11
Normal,Normal,8.834706,tcp,540,0,11,11
Normal,Normal,6e-06,tcp,90,0,11,11
Normal,Normal,13.982293,tcp,450,0,22,20
Normal,Normal,20.535067,tcp,450,0,22,20
Normal,Normal,18.112692,tcp,450,0,22,20
Normal,Normal,0.500492,tcp,2516,268,22,1
Normal,Normal,15.328777,tcp,450,0,22,20
Normal,Normal,14.958252,tcp,450,0,22,20
Normal,Normal,13.053721,tcp,450,0,22,20
Normal,Normal,1.12155,tcp,890,1150,1,1
Normal,Normal,14.958252,tcp,450,0,22,20
Normal,Normal,19.106997,tcp,450,0,22,20
Normal,Normal,24.755817,tcp,450,0,22,20
Normal,Normal,23.255651,tcp,450,0,6,6
Normal,Normal,22.761002,tcp,450,0,6,6
Normal,Normal,23.255651,tcp,450,0,6,6
Normal,Normal,22.761002,tcp,450,0,6,6
Normal,Normal,18.44595,tcp,450,0,6,6
Normal,Normal,24.755817,tcp,450,0,6,6
Normal,Normal,15.328777,tcp,450,0,22,20
Normal,Normal,13.053721,tcp,450,0,22,20
Normal,Normal,20.535067,tcp,450,0,22,20
Normal,Normal,21.025787,tcp,450,0,22,20
Normal,Normal,21.987556,tcp,450,0,22,20
Normal,Normal,18.112692,tcp,450,0,22,20
Normal,Normal,18.44595,tcp,450,0,22,20
Normal,Normal,21.987556,tcp,450,0,22,20
Normal,Normal,21.025787,tcp,450,0,22,20
Normal,Normal,19.106997,tcp,450,0,22,20
Normal,Normal,13.982293,tcp,450,0,22,20
Normal,Normal,23.333012,tcp,360,0,2,2
Normal,Normal,23.333012,tcp,360,0,2,2
Normal,Normal,9e-06,udp,104,0,1,1
Normal,Normal,25.801886,tcp,360,0,3,3
Normal,Normal,23.387411,tcp,360,0,3,3
Normal,Normal,23.660702,tcp,360,0,5,5
Normal,Normal,25.758749,tcp,360,0,5,5
Normal,Normal,23.660702,tcp,360,0,5,5
Normal,Normal,25.758749,tcp,360,0,5,5
Normal,Normal,23.387411,tcp,360,0,5,5
Normal,Normal,1e-06,udp,104,0,2,2
Normal,Normal,1.673592,tcp,810,1250,1,1
Normal,Normal,0.764506,tcp,534,268,1,1
Normal,Normal,25.801886,tcp,360,0,3,3
Normal,Normal,2.185865,tcp,2516,354,6,1
Normal,Normal,4e-06,igmp,90,0,4,4
Normal,Normal,24.682304,tcp,270,0,6,4
Normal,Normal,25.819431,tcp,270,0,6,4
Normal,Normal,3e-06,igmp,2120,0,4,4
Normal,Normal,4e-06,igmp,90,0,4,4
Normal,Normal,25.819431,tcp,270,0,6,4
Normal,Normal,3e-06,igmp,2120,0,4,4
Normal,Normal,24.682304,tcp,270,0,6,4
Normal,Normal,1.429959,tcp,534,268,1,1
Normal,Normal,31.542561,tcp,180,0,7,7
Normal,Normal,29.195513,tcp,180,0,7,7
Normal,Normal,30.79278,tcp,180,0,7,7
Normal,Normal,30.79278,tcp,180,0,7,7
Normal,Normal,27.413933,tcp,180,0,1,1
Normal,Normal,31.542561,tcp,180,0,7,7
Normal,Normal,0.524961,tcp,534,268,1,1
Normal,Normal,3e-06,udp,104,0,3,1
Normal,Normal,29.195513,tcp,180,0,7,7
Normal,Normal,27.413933,tcp,180,0,7,7
Normal,Normal,5e-06,igmp,90,0,3,2
Normal,Normal,5e-06,igmp,90,0,3,2
Normal,Normal,1.129944,tcp,534,354,1,1
Normal,Normal,1.964566,tcp,2516,354,1,1
Normal,Normal,2.349783,tcp,888,1370,1,1
Normal,Normal,7e-06,udp,104,0,1,1
Attack,Reconnaissance,0.921987,ospf,1280,0,1,1
Attack,Reconnaissance,0.921987,ospf,1280,0,1,1
Attack,Backdoor,0.921987,ospf,1280,0,1,1
Attack,DoS,0.921987,ospf,1280,0,1,1
Attack,Exploits,9e-06,sctp,104,0,1,2
Attack,Analysis,9e-06,gre,156,0,1,1
Attack,Exploits,9e-06,gre,156,0,1,1
Attack,Exploits,9e-06,gre,156,0,1,1
Attack,Exploits,9e-06,gre,156,0,1,1
Attack,Exploits,1.6e-05,udp,196,0,1,1
Attack,Exploits,0.224524,tcp,830,960,2,2
Attack,Exploits,0.409782,tcp,852,1336,2,2
Attack,Exploits,0.258515,tcp,1064,268,1,1
Attack,Reconnaissance,0.674665,tcp,564,354,1,1
Attack,Exploits,5.600391,tcp,886,5236,1,1
Attack,Exploits,0.285988,tcp,1196,992,1,1
Attack,Reconnaissance,3e-06,udp,168,0,1,1
Attack,Reconnaissance,0.663844,tcp,564,354,1,1
Attack,Reconnaissance,0.217312,tcp,1148,268,1,1
Attack,Exploits,7.629429,tcp,9082,1747118,1,1
Attack,Exploits,0.502392,tcp,938,354,2,1
Attack,Exploits,0.460161,tcp,908,18088,1,1
Attack,Reconnaissance,9e-06,udp,168,0,1,1
Attack,Fuzzers,1.244202,ospf,3024,0,1,1
Attack,Exploits,1.244202,ospf,3024,0,1,1
Attack,Exploits,1.244202,ospf,3024,0,1,1
Attack,Exploits,1.244202,ospf,3024,0,1,1
Attack,Exploits,1.244202,ospf,3024,0,1,1
Attack,Exploits,0.289402,tcp,1134,1074,1,1
Attack,Reconnaissance,0.667368,tcp,564,354,3,1
Attack,Fuzzers,0.209133,tcp,508,268,2,2
Attack,Fuzzers,0.197552,tcp,758,268,5,4
Attack,Reconnaissance,8e-06,udp,168,0,1,1
Attack,Fuzzers,0.483004,tcp,566,354,3,3
Attack,Fuzzers,0.523646,tcp,674,268,1,1
Attack,Exploits,2.032866,tcp,1186,1602,2,3
Attack,Exploits,0.727527,tcp,364,1628,2,3
Attack,Reconnaissance,9e-06,udp,168,0,2,1
Attack,Fuzzers,0.681871,tcp,17266,354,2,2
Attack,Fuzzers,0.566928,tcp,490,268,1,1
Attack,Fuzzers,0.833854,tcp,738,354,2,2
Attack,Fuzzers,0.766293,tcp,1506,268,2,1
Attack,Exploits,0.583476,tcp,1098,268,2,2
Attack,Exploits,0.625871,tcp,3984,268,2,1
Attack,DoS,1.173262,tcp,2080,1746,1,1
Attack,Fuzzers,0.451172,tcp,490,268,2,2
Attack,Reconnaissance,0.877186,tcp,564,354,1,1
Attack,Fuzzers,0.694908,tcp,546,354,2,1
Attack,Fuzzers,0.534477,tcp,546,354,1,1
Attack,Fuzzers,0.322297,tcp,546,268,2,2
Attack,Exploits,0.688948,tcp,908,2000,3,1
Attack,Fuzzers,0.537852,tcp,484,354,2,2
Attack,Exploits,0.772218,tcp,808,1238,1,1
Attack,Exploits,0.432617,tcp,968,354,1,1
Attack,Exploits,0.249214,tcp,848,986,2,2
Attack,Reconnaissance,0.647249,tcp,564,354,1,1
Attack,Reconnaissance,0.190223,tcp,902,268,1,1
Attack,Exploits,0.894891,tcp,3178,1784,1,1
Attack,Exploits,0.998863,tcp,948,9872,1,1
Attack,Exploits,0.282722,tcp,844,1094,2,2
Attack,Exploits,9.95755,tcp,10662,2055289,1,1
Attack,Exploits,1.232252,tcp,950,2266,2,1
Attack,Exploits,0.305854,tcp,1582,268,1,1
Attack,Exploits,0.845421,tcp,9684,406,1,1
Attack,Fuzzers,0.379788,tcp,1294,268,1,1
Attack,Fuzzers,0.588943,tcp,2062,268,2,2
Attack,Fuzzers,0.596682,tcp,3678,268,2,2
Attack,Fuzzers,0.725222,tcp,550,354,2,1
Attack,Reconnaissance,1e-05,udp,168,0,2,1
Attack,Reconnaissance,0.740256,tcp,774,268,2,1
Attack,Fuzzers,1.189909,tcp,718,354,1,1
Attack,Fuzzers,0.810054,tcp,1716,354,1,1
Attack,Fuzzers,0.860513,tcp,3678,268,1,1
Attack,Exploits,1.1899,tcp,1326,3294,2,2
Attack,Fuzzers,0.721047,tcp,2484,268,1,1
Attack,Fuzzers,0.801919,tcp,6830,354,1,1
Attack,Reconnaissance,0.407476,tcp,780,268,1,1
Attack,Fuzzers,0.456038,tcp,550,268,1,1
Attack,Fuzzers,0.69726,tcp,1294,268,2,1
Attack,Reconnaissance,1.155184,tcp,564,354,1,1
Attack,Exploits,0.823709,tcp,914,29346,1,1
Attack,Exploits,1.094653,tcp,824,2216,1,1
Attack,Fuzzers,0.860687,tcp,992,716,4,2
Attack,Fuzzers,44.22596,tcp,18872,1718,4,3
Attack,Fuzzers,1.004763,tcp,1092,766,1,1
Attack,Fuzzers,1.393967,tcp,1164,842,3,2
Attack,Exploits,1.31628,tcp,1314,1774,3,2
Attack,Fuzzers,1.392847,tcp,1084,820,2,2
Attack,Exploits,2.838932,tcp,1222,63172,2,2
Attack,Exploits,5.293481,tcp,286548,3166,1,3
Attack,Fuzzers,0.837254,tcp,1080,734,2,1
Attack,Fuzzers,1.46353,tcp,1232,830,1,1
Attack,Exploits,1.843741,tcp,836,5624,1,2
Attack,DoS,1.438237,tcp,958,2726,1,1
Attack,Fuzzers,1.263457,tcp,1174,730,1,1
Attack,DoS,1.465404,tcp,800,1018,1,2
Attack,Fuzzers,1.722713,tcp,988,808,2,2
Attack,Fuzzers,2.337648,tcp,1228,796,1,1
Attack,Exploits,3.429712,tcp,30764,1764,2,1
Attack,Exploits,2.360055,tcp,28162,1772,2,1
Attack,Fuzzers,0.844596,tcp,1014,740,1,1
Attack,Fuzzers,1.102556,tcp,1110,820,2,1
Attack,Fuzzers,1.141352,tcp,1018,840,2,1
Attack,Fuzzers,1.067207,tcp,1110,776,1,1
Attack,Fuzzers,2.716886,tcp,1042,696,3,3
Attack,Fuzzers,1.943965,tcp,34710,1022,2,1
Attack,Exploits,1.834468,tcp,818,4788,3,1
Attack,Exploits,1.468132,tcp,830,1856,1,1
Attack,Fuzzers,1.616972,tcp,1196,820,2,1
Attack,Fuzzers,1.916194,tcp,3030,844,3,2
Attack,Fuzzers,2.119298,tcp,698,682,1,1
Attack,Fuzzers,2.22194,tcp,700,682,1,1
Attack,Fuzzers,2.420967,tcp,1106,814,1,1
Attack,Fuzzers,2.663656,tcp,698,682,1,1
Attack,Exploits,1.905333,tcp,936,354,1,1
Attack,Fuzzers,2.141633,tcp,3026,792,1,1
Attack,DoS,28.213135,ospf,1280,0,1,1
Attack,DoS,28.213135,ospf,1280,0,1,1
Attack,DoS,28.213135,ospf,1280,0,1,1
Attack,Exploits,28.213135,ospf,1280,0,1,1
Attack,Exploits,28.213135,ospf,1280,0,1,1
Attack,Exploits,28.213135,ospf,1280,0,1,1
Attack,Exploits,0.803314,tcp,41302,2104,1,1
Attack,Reconnaissance,0.678469,tcp,564,354,1,1
Attack,Exploits,1.313131,tcp,1186,1668,2,2
Attack,Reconnaissance,1.5e-05,udp,168,0,1,1
Attack,Reconnaissance,0.624286,tcp,564,354,1,1
Attack,Exploits,1.265907,tcp,172977,2638,2,1
Attack,Fuzzers,3e-06,sctp,776,0,1,1
Attack,Exploits,3e-06,sctp,776,0,1,1
Attack,Exploits,3e-06,sctp,776,0,1,1
Attack,Exploits,3e-06,sctp,776,0,1,1
Attack,Reconnaissance,3e-06,udp,168,0,1,1
Attack,DoS,0.466699,ospf,2858,0,1,1
Attack,DoS,0.466699,ospf,2858,0,1,1
Attack,Exploits,0.466699,ospf,2858,0,1,1
Attack,Reconnaissance,7e-06,udp,168,0,1,1
Attack,Exploits,0.180252,tcp,974,268,1,1
Attack,Exploits,0.264132,tcp,748,4208,1,1
Attack,Fuzzers,4e-06,udp,2150,0,10,11
Attack,Fuzzers,1e-05,udp,1970,0,10,11
Attack,Fuzzers,1e-05,udp,1850,0,14,14
Attack,Fuzzers,8e-06,udp,754,0,14,14
Attack,Fuzzers,9e-06,udp,1406,0,14,14
Attack,Worms,0.201833,tcp,1308,268,1,1
Attack,Fuzzers,6e-06,udp,756,0,15,15
Attack,Fuzzers,1e-05,udp,1768,0,15,15
Attack,Exploits,0.611251,tcp,1172,48278,1,1
Attack,Exploits,1.151317,tcp,1190,1652,2,2
Attack,Exploits,0.34468,tcp,1284,2074,1,1
Attack,Exploits,0.185405,tcp,512,268,1,1
Attack,Exploits,0.644655,tcp,1104,31168,1,1
Attack,Exploits,1.225539,tcp,3926,3392,1,1
Attack,Exploits,0.201967,tcp,4708,268,1,1
Attack,Exploits,0.165417,tcp,3818,268,1,1
Attack,Fuzzers,0.414536,tcp,1204,354,2,2
Attack,Fuzzers,0.419779,tcp,1332,354,3,3
Attack,Fuzzers,0.252441,tcp,1844,268,1,1
Attack,Reconnaissance,7.312841,ospf,10880,0,2,1
Attack,Exploits,0.186136,tcp,816,6574,1,1
Attack,Exploits,0.246582,tcp,6924,812,1,1
Attack,Reconnaissance,0.188998,tcp,854,268,1,1
Attack,Exploits,0.198691,tcp,918,268,1,1
Attack,Fuzzers,4.490101,udp,17078,0,4,2
Attack,Fuzzers,43.982441,tcp,1568,1528,2,2
Attack,Exploits,0.568472,tcp,2512,1386,1,1
Attack,Exploits,0.535636,tcp,1256,1288,3,1
Attack,Fuzzers,0.793553,tcp,906,556,2,1
Attack,Fuzzers,0.905874,tcp,904,642,2,1
Attack,Exploits,0.628707,tcp,964,3708,2,2
Attack,Fuzzers,0.954264,tcp,782,678,1,1
Attack,Fuzzers,1.335126,tcp,904,728,2,1
Attack,DoS,0.417471,tcp,786,826,1,1
Attack,Exploits,0.328615,tcp,888,3780,1,1
Attack,Fuzzers,0.720163,tcp,790,678,3,1
Attack,Exploits,0.963038,tcp,2798,2050,1,2
Attack,Exploits,0.376248,tcp,1062,268,1,1
Attack,Exploits,1.30776,tcp,23864,1846,1,1
Attack,Exploits,43.776703,tcp,7164417,34668,1,1
Attack,DoS,0.338931,tcp,796,1024,1,1
Attack,Exploits,1.194859,tcp,934,8624,1,2
Attack,Reconnaissance,0.796488,tcp,564,354,1,1
Attack,Shellcode,0.320574,tcp,568,268,1,1
Attack,Exploits,0.367036,tcp,1092,1044,1,1
Attack,DoS,7e-06,udp,136,0,2,1
Attack,Exploits,0.49391,tcp,770,11200,1,1
Attack,DoS,0.340732,tcp,842,1670,1,1
Attack,Reconnaissance,3e-06,udp,168,0,1,1
Attack,Reconnaissance,0.829626,tcp,564,354,1,2
Attack,Shellcode,7e-06,udp,406,0,2,2
Attack,Fuzzers,0.915074,tcp,1536,556,1,1
Attack,Exploits,0.328484,tcp,1126,14492,1,1
Attack,Exploits,0.381521,tcp,794,3962,1,1
Attack,Exploits,0.580452,tcp,2326,552,1,1
Attack,Exploits,1.845588,tcp,4963,1834,1,1
Attack,Exploits,1.634732,tcp,1084,31422,2,1
Attack,Exploits,3e-06,sctp,78,0,1,1
Attack,Exploits,3e-06,sctp,78,0,1,1
Attack,Shellcode,0.52179,tcp,684,268,1,1
Attack,Exploits,1.300463,tcp,992,16286,1,1
Attack,Reconnaissance,0.884886,tcp,564,354,1,1
Attack,Exploits,0.474962,tcp,906,22330,2,1
Attack,Reconnaissance,0.818168,tcp,564,354,2,1
Attack,DoS,35.181515,tcp,5487011,26990,1,1
Attack,Shellcode,0.37681,tcp,562,268,1,1
Attack,Reconnaissance,2.3e-05,udp,168,0,2,1
Attack,Reconnaissance,3e-06,udp,168,0,1,1
Attack,Exploits,0.346076,tcp,914,268,1,1
Attack,Exploits,3.315317,tcp,214505,2812,1,1
Attack,Exploits,4e-06,udp,2792,0,1,1
Attack,Reconnaissance,1e-06,udp,168,0,1,1
Attack,Reconnaissance,8e-06,udp,168,0,1,1
Attack,Reconnaissance,0.671246,tcp,564,354,1,1
Attack,Reconnaissance,0.67514,tcp,564,354,1,1
Attack,Exploits,0.277344,tcp,800,5972,2,1
Attack,Exploits,0.012899,tcp,96,96,1,1
Attack,Reconnaissance,0.623815,tcp,564,354,1,1
Attack,Exploits,0.190103,tcp,916,4638,1,1
Attack,Analysis,5e-06,ggp,180,0,5,3
Attack,Exploits,5e-06,ggp,180,0,5,3
Attack,Exploits,5e-06,ggp,180,0,5,3
Attack,Fuzzers,3e-06,ip,180,0,5,3
Attack,DoS,3e-06,ip,180,0,5,3
Attack,DoS,3e-06,ip,180,0,5,3
Attack,Exploits,3e-06,ip,180,0,5,3
Attack,Fuzzers,3e-06,ipnip,180,0,5,3
Attack,DoS,3e-06,ipnip,180,0,5,3
Attack,DoS,3e-06,ipnip,180,0,5,3
Attack,Exploits,3e-06,ipnip,180,0,5,3
Attack,Exploits,1.160125,tcp,1190,1642,2,2
Attack,Exploits,1.160125,tcp,1190,1642,2,2
Attack,Reconnaissance,1.007653,st2,360,0,2,1
Attack,DoS,1.007653,st2,360,0,2,1
Attack,DoS,1.007653,st2,360,0,2,1
Attack,Exploits,1.007653,st2,360,0,2,1
Attack,Exploits,0.192322,tcp,5098,268,1,1
Attack,Exploits,0.187225,tcp,1988,268,1,1
Attack,Reconnaissance,0.675253,tcp,564,354,1,1
Attack,DoS,8e-06,argus,180,0,10,10
Attack,Backdoor,3e-06,chaos,200,0,10,10
Attack,Exploits,3e-06,chaos,200,0,10,10
Attack,Exploits,3e-06,chaos,200,0,10,10
Attack,Fuzzers,6e-06,egp,180,0,10,10
Attack,DoS,6e-06,egp,180,0,10,10
Attack,DoS,6e-06,egp,180,0,10,10
Attack,DoS,6e-06,egp,180,0,10,10
Attack,Exploits,6e-06,egp,180,0,10,10
Attack,Exploits,2e-06,emcon,180,0,10,10
Attack,DoS,6e-06,nvp,180,0,10,10
Attack,Reconnaissance,1.3e-05,udp,168,0,1,1
Attack,Exploits,6e-06,nvp,180,0,10,10
Attack,Exploits,0.707186,tcp,1032,9898,1,1
Attack,Fuzzers,3e-06,pup,180,0,10,10
Attack,Reconnaissance,1.5e-05,udp,168,0,1,1
Attack,DoS,3e-06,pup,180,0,10,10
Attack,Exploits,0.781325,tcp,1186,40540,2,1
Attack,Exploits,0.225991,tcp,1170,966,1,1
Attack,DoS,3e-06,pup,180,0,10,10
Attack,Exploits,0.227117,tcp,834,5384,1,1
Attack,Exploits,3e-06,pup,180,0,10,10
Attack,Exploits,1e-05,udp,748,0,1,1
Attack,Exploits,3e-06,xnet,180,0,10,10
Attack,Exploits,1.411386,tcp,1202,1664,2,2
Attack,Reconnaissance,0.244608,tcp,980,268,1,1
Attack,Exploits,1.253977,tcp,308919,3296,1,1
Attack,Reconnaissance,2e-05,udp,168,0,9,1
Attack,Fuzzers,0.371083,tcp,950,268,2,2
Attack,Reconnaissance,7e-06,udp,168,0,1,1
Attack,DoS,1.246909,mux,400,0,2,2
Attack,Backdoor,0.489758,ospf,1040,0,1,1
Attack,DoS,0.489758,ospf,1040,0,1,1
Attack,DoS,1.246909,mux,400,0,2,2
Attack,DoS,57.237827,tcp,70700,14657531,1,1
Attack,Exploits,1.246909,mux,400,0,2,2
Attack,Exploits,0.231606,tcp,926,23166,1,1
Attack,Exploits,1.246909,mux,400,0,2,2
Attack,Exploits,1.565097,tcp,2976,449181,2,1
Attack,Reconnaissance,8e-06,udp,168,0,1,1
Attack,Exploits,1.246909,mux,400,0,2,2
Attack,Exploits,1.644148,tcp,283242,2998,1,1
Attack,Backdoor,9e-06,dcn,200,0,2,2
Attack,Reconnaissance,7.312841,ospf,10880,0,2,1
Attack,Exploits,9e-06,dcn,200,0,2,2
Attack,DoS,7.312841,ospf,10880,0,2,1
